Specimen.Number,Institution,Collections.Number,Specific_Epithet,Site.Location,Latitude,Longitude,Year,Month,Day,Date,Genus,Species
48,FMNH,84092,Siren intermedia nettingi,"North America, USA, Arkansas, Lawrence Co: Imboden",NA,NA,NA,NA,NA,NA,Siren,intermedia
49,FMNH,8513 (renumbered),Siren intermedia nettingi,"North America, USA, Arkansas, Lawrence Co: Imboden",NA,NA,1925,NA,NA,NA,Siren,intermedia
50,FMNH,21249,Siren intermedia nettingi,"North America, USA, Arkansas: Imboden",NA,NA,1930,5,NA,NA,Siren,intermedia
51,FMNH,204644,Siren intermedia nettingi,"North America, USA, Illinois, Union Co: Pine Hills",37.56945,-89.43228,1959,2,27,1959-02-27,Siren,intermedia
52,FMNH,204642,Siren intermedia nettingi,"North America, USA, Illinois, Union Co: Pine Hills, Aldredge",37.55743,-89.44235,1965,1,28,1965-01-28,Siren,intermedia
53,FMNH,34849,Siren lacertina,"North America, USA, Florida: Lake Iamonia, north of Tallahassee",NA,NA,1940,4,2,1940-04-02,Siren,lacertina
54,FMNH,93213,Siren lacertina,"North America, USA, Florida, St Johns Co: 5 mi N St Augustine",NA,NA,1936,2,20,1936-02-20,Siren,lacertina
55,FMNH,31776,Siren lacertina,"North America, USA, Georgia: near Thomasville,""Chakri""",30.8369,-83.981,1939,2,NA,NA,Siren,lacertina
56,FMNH,31775,Siren lacertina,"North America, USA, Georgia: Thomasville, ""Chakri""",30.8369,-83.981,1939,2,NA,NA,Siren,lacertina
57,FMNH,33609,Siren lacertina,"North America, USA, Georgia: Thomasville, ""Chakri""",30.8369,-83.981,1939,NA,NA,NA,Siren,lacertina
58,FMNH,84099,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
59,FMNH,84106,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
60,FMNH,84107,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
61,FMNH,84110,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
62,FMNH,84119,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
63,FMNH,84113,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
64,FMNH,84116,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
65,FMNH,84100,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
66,FMNH,84108,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
67,FMNH,84103,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
68,FMNH,84112,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
69,FMNH,84102,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
70,FMNH,84117,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
71,FMNH,84114,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
72,FMNH,84105,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",NA,NA,1948,8,16,1948-08-16,Siren,lacertina
73,FMNH,31337,Siren lacertina,"North America, USA, Louisiana",NA,NA,1944,7,25,1944-07-25,Siren,lacertina
74,FMNH,31336,Siren lacertina,"North America, USA, Louisiana",NA,NA,1944,7,25,1944-07-25,Siren,lacertina
75,FMNH,256382,Siren lacertina,"North America, USA",NA,NA,NA,NA,NA,NA,Siren,lacertina
