Specimen Number,Institution,Collections Number,Species,Site/Location,Latitude,Longitude,Year,Month,Day
49,FMNH,8513 (renumbered),Siren intermedia nettingi,"North America, USA, Arkansas, Lawrence Co: Imboden",,,1925,,
50,FMNH,21249,Siren intermedia nettingi,"North America, USA, Arkansas: Imboden",,,1930,5,
51,FMNH,204644,Siren intermedia nettingi,"North America, USA, Illinois, Union Co: Pine Hills",37.56945,-89.43228,1959,2,27
52,FMNH,204642,Siren intermedia nettingi,"North America, USA, Illinois, Union Co: Pine Hills, Aldredge",37.55743,-89.44235,1965,1,28
53,FMNH,34849,Siren lacertina,"North America, USA, Florida: Lake Iamonia, north of Tallahassee",,,1940,4,2
54,FMNH,93213,Siren lacertina,"North America, USA, Florida, St Johns Co: 5 mi N St Augustine",,,1936,2,20
55,FMNH,31776,Siren lacertina,"North America, USA, Georgia: near Thomasville,""Chakri""",30.8369,-83.981,1939,2,
56,FMNH,31775,Siren lacertina,"North America, USA, Georgia: Thomasville, ""Chakri""",30.8369,-83.981,1939,2,
57,FMNH,33609,Siren lacertina,"North America, USA, Georgia: Thomasville, ""Chakri""",30.8369,-83.981,1939,,
58,FMNH,84099,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
59,FMNH,84106,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
60,FMNH,84107,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
61,FMNH,84110,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
62,FMNH,84119,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
63,FMNH,84113,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
64,FMNH,84116,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
65,FMNH,84100,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
66,FMNH,84108,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
67,FMNH,84103,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
68,FMNH,84112,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
69,FMNH,84102,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
70,FMNH,84117,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
71,FMNH,84114,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
72,FMNH,84105,Siren lacertina,"North America, USA, Florida, Alachua Co: stream flowing into Orange Lake marsh, 1 mi E Island Grove",,,1948,8,16
73,FMNH,31337,Siren lacertina,"North America, USA, Louisiana",,,1944,7,25
74,FMNH,31336,Siren lacertina,"North America, USA, Louisiana",,,1944,7,25
75,FMNH,256382,Siren lacertina,"North America, USA",,,,,
