specimen,population,HdLngth/SVL,HdWdth/SVL,HdDpth/SVL,EyeNost/SVL,Gape/SVL,TrunkLgth/SVL,TrunkWdth/SVL,3rdtoehind/SVL
40779,BA,0.6570175929616034,0.5573048102858148,0.3800563748074949,0.305634652674063,0.5452288006750237,0.8658293092584752,0.5168658896852928,0.29282982331341273
40780,BA,0.6624925036130045,0.5644691232555893,0.40540374279160285,0.3045684733286861,0.5584045539498256,0.863675227390643,0.5275869306359646,0.294009875661632
40789,BA,0.6432712789654504,0.5402329654493512,0.35585765676409425,0.3149362561813807,0.531534337884446,0.8729512097172157,0.5050642590863272,0.21836513885516087
40790,BA,0.6566436621969528,0.5347752604427234,0.3608636107960661,0.3539349404490043,0.5300094564382903,0.8517471602371158,0.4638520813601157,0.22614290082849842
40963,BA,0.6329596157231894,0.5175523397949707,0.3858144039094106,0.2923391891732642,0.49082506918297963,0.8628933792444604,0.4568445114777579,0.26786418278187096
40964,BA,0.650136587723318,0.5202251236644715,0.3988482576411825,0.33218839494694796,0.5045085528469576,0.8430654912728551,0.4925065657106439,0.27251282489420536
40965,BA,0.6407922660801074,0.5371821677336082,0.421281941887985,0.33538862577829937,0.5154508056035616,0.8781982450303316,0.5349262940470414,0.2843016868826177
40966,BA,0.6516661332115171,0.5488719063671259,0.4139977435161282,0.34733073668339043,0.5262492513335459,0.8713008622169508,0.5238340064187846,0.2659402330835273
40967,BA,0.6452653782275573,0.534102613609032,0.38562004602601047,0.3538534803947547,0.5186547883751861,0.8707909965389619,0.5165635521990322,0.28674875205359973
40968,BA,0.6198704616974716,0.5363759807441231,0.3724480530517636,0.296275946977489,0.5080610401539594,0.8719687939174492,0.4950134770832176,0.2472735830813256
40969,BA,0.6389263262164088,0.5423144856827157,0.3826656593541986,0.32135178257067587,0.527598624439624,0.8600867741923748,0.4754053383660184,0.2987427870233383
40970,BA,0.627233265314342,0.5298588188665214,0.38939102225289857,0.33115549422292456,0.5219234611768692,0.8611627059538703,0.47427743516708265,0.24857909726017396
40971,BA,0.6395124377229685,0.5300179873310007,0.37320584979968385,0.34707350306551366,0.5229002909684439,0.873246559586063,0.4991196434508388,0.24384113423595996
40972,BA,0.6397668059774971,0.524143418519254,0.37812456452252113,0.28631685030951226,0.5113605667258282,0.8684995272916713,0.46887401176296795,0.23725455963398673
40973,BA,0.6245490443979143,0.5292644540067702,0.37240781402004486,0.36213907660254374,0.5110241818162837,0.8630038308913706,0.4710439307495348,0.3031612073161588
40974,BA,0.6377590704198007,0.5331061647727943,0.43101880892861644,0.3544771988654288,0.5199528729313293,0.8715559517453124,0.49992648478704366,0.2895781947379797
40975,BA,0.6471874848250069,0.5330517090875666,0.3648877315876842,0.35417226192702633,0.5092687268380236,0.8696550240630639,0.4716504115861832,0.24896801924825823
40976,BA,0.6342585043872205,0.534195863945453,0.39952542174821165,0.3126770348025609,0.5168697241536447,0.8690034517009362,0.492552450748609,0.27685242258095133
40977,BA,0.6301042653643114,0.514026065615846,0.31989121484273364,0.33131713641561455,0.5002020626324932,0.8524487922199844,0.4105047737808531,0.24645335845285507
40978,BA,0.6325980125754079,0.5356656706798215,0.39254971399894595,0.28807612762797663,0.5072792502267313,0.8509820157371446,0.4616783696060575,0.26902643111658553
40979,BA,0.6437041351883235,0.5366922463515426,0.3971304671260348,0.38087424990626667,0.4966049992700021,0.8608982152734004,0.4986181129429829,0.2623590885469513
40980,BA,0.6376625027489191,0.5348626104614154,0.3597059411613294,0.29955965518734406,0.5161444054704697,0.8680335249221223,0.4679885719714587,0.2911105209840651
40981,BA,0.6345261937864196,0.535685753544187,0.4108538434580264,0.3234978177820803,0.5191712378283146,0.8751959279101694,0.5065512849794948,0.2803235788337869
41095,BA,0.5983894053309592,0.5211220868840024,0.365921650914366,0.3057386743027431,0.5063862284194679,0.8559527469225057,0.467765768857186,0.24945952532075735
41006,BR,0.6381571858898304,0.5493416336769816,0.37848519058269003,0.31745442049198347,0.508092554621747,0.85022182354153375,0.4546645789498681,0.21819325962850583
41045,BR,0.6239824369833631,0.5175874143756733,0.3396956861589563,0.2963844954616725,0.5048663686702385,0.8558846280893962,0.4846489163641821,0.2531075686169422
41046,BR,0.6201979994495119,0.5435980023882697,0.37575213254960194,0.2772268568995863,0.5089241378741166,0.8687522148613186,0.4957006160357322,0.20770881589787568
