specimen,population,SVL,HdLngth,HdWdth,HdDpth,EyeNost,Gape,TrunkLgth,TrunkWdth,3rdtoehind,site,elevation,long.deg,long.mins,lat.deg,lat.mins
42664,BR,77.235,15.625,10.325,4.66,3.775,9.5,45.875,8.64,2.885,persimmon mtn.,3000,83,3,34,59
42665,BR,76.495,16.13,10.35,4.33,3.385,10.11,43.715,8.2,2.535,persimmon mtn.,3000,83,3,34,59
42666,BR,72.835,15.71,10.51,5.135,4.075,9.56,42.71,8.915,2.17,buck knob spr.,2800,83,4,34,58
42668,BR,82.85,17.35,11.19,5.32,4.09,10.62,47.915,10.32,2.885,buck knob spr.,2800,83,4,34,58
42669,BR,75.235,14.845,10.2,3.925,3.705,9.695,41.49,8.08,2.34,buck knob spr.,2800,83,4,34,58
42670,BR,79.205,15.295,10.79,4.455,4.05,10.575,45.33,9.215,2.475,persimmon mtn.,3000,83,3,34,59
42671,BR,69.605,14.525,9.885,4.885,3.135,9.15,38.1,8.52,2.515,persimmon mtn.,3000,83,3,34,59
42672,BR,64.445,13.66,8.745,4.01,3.36,8.37,36.955,6.51,2.32,persimmon mtn.,3000,83,3,34,59
42674,BR,84.51,17.09,11.145,6.705,4.16,10.39,50.715,8.675,3.06,buck knob spr.,2800,83,4,34,58
42675,BR,77.77,16.66,10.29,4.705,3.48,10.1,44.435,7.865,2.61,buck knob spr.,2800,83,4,34,58
42678,BR,71.535,14.59,9.22,4.345,3.21,8.76,42.515,7.23,2.255,persimmon mtn.,3000,83,3,34,59
42679,BR,68.315,14.245,9.31,3.89,3.19,8.655,38.785,6.95,2.185,persimmon mtn.,3000,83,3,34,59
42680,BR,69.165,14.285,8.765,3.605,2.93,8.675,40.22,7.22,2.3,persimmon mtn.,3000,83,3,34,59
42681,BR,63.95,13.635,9.33,3.595,2.71,8.67,35.51,6.575,2.305,persimmon mtn.,3000,83,3,34,59
42682,BR,67.75,14,9.745,4,3.535,8.91,38.585,6.51,2.26,persimmon mtn.,3000,83,3,34,59
42683,BR,75.055,15.525,9.015,4.175,4.365,8.86,41.93,7.26,2.755,persimmon mtn.,3000,83,3,34,59
42684,BR,72.545,14.69,10.055,4.285,3.18,9.285,42.41,7.84,2.465,persimmon mtn.,3000,83,3,34,59
42685,BR,78.72,15.715,11.02,5.185,4.11,10.175,48.41,9.205,2.94,cane creek,no idea about exact whereabouts of this locality,NA,NA,NA,NA
42687,BR,71.435,15.415,9.775,4.23,3.84,9.09,39.98,7.345,2.205,persimmon mtn.,3000,83,3,34,59
42283,"NA",67.79,14.145,9.08,4.745,3.345,8.655,36.64,6.54,2.695,robin branch,4800,83,35,35,10
42284,"NA",66.45,14.14,9.08,4.155,3.18,8.825,39.02,7.43,3.005,robin branch,4800,83,35,35,10
42285,"NA",71.625,15.21,9.6,4.955,3.47,9.025,40.01,7.22,2.755,robin branch,4800,83,35,35,10
42286,"NA",81.5,16.275,10.805,5.8,3.485,9.72,45.66,8.82,3.05,robin branch,4800,83,35,35,10
42287,"NA",75.885,15.315,9.935,4.795,3.52,9.15,42.96,7.11,3.015,robin branch,4800,83,35,35,10
42288,"NA",71.465,14.78,9.745,5.145,3.715,9.5,39.125,6.99,2.81,robin branch,4800,83,35,35,10
42289,"NA",75.33,16.325,10.125,5.055,4.185,9.285,39.9,7.895,2.415,robin branch,4800,83,35,35,10
42290,"NA",72.615,13.385,8.95,4.215,3.47,8.34,39.31,7.44,2.38,robin branch,4800,83,35,35,10
41256,CN,98.525,19.575,12.98,8.14,5.29,11.87,59.285,10.67,3.235,brushy fork cr.,3500,83,19,35,18
42464,CN,73.455,14.705,10.145,5.215,4.065,9.66,41.84,8.77,2.325,alarka,4400,83,21,35,20
42465,CN,72.915,15.94,9.87,4.655,3.56,9.5,39.095,7.425,2.695,alarka,4400,83,21,35,20
42467,CN,95.68,19.19,13.22,7.05,4.985,12.21,54.945,10.4,3.79,alarka,4400,83,21,35,20
42468,CN,70.825,13.185,9.24,4.84,3.505,8.87,40.22,7.25,2.07,alarka,4400,83,21,35,20
42470,CN,78.005,15.11,10.495,5.275,3.575,9.765,46.365,7.975,2.71,alarka,4400,83,21,35,20
42472,CN,118.225,19.895,15,7.695,5.215,14.135,72.335,11.425,4.1,alarka,4400,83,21,35,20
42473,CN,106.985,18.59,13.72,6.81,5.075,12.73,64.12,10.73,3.075,alarka,4400,83,21,35,20
42474,CN,62.26,12.23,8.14,4.565,2.845,7.755,37.78,6.615,1.955,alarka,4400,83,21,35,20
42475,CN,64.575,12.87,8.175,4.595,3.125,8.05,38.215,6.42,2.26,alarka,4400,83,21,35,20
42477,CN,80.11,15.815,10.36,4.835,3.495,10.02,45.205,8.08,2.36,alarka,4400,83,21,35,20
42478,CN,74.27,15.91,9.86,5.435,3.805,9.565,43.59,8.215,2.34,alarka,4400,83,21,35,20
42479,CN,70.485,14.11,9.635,4.715,3.605,9.345,40.22,6.545,2.31,alarka,4400,83,21,35,20
42481,CN,72.16,14.355,10.16,5.02,3.99,9.975,40.16,7.54,2.235,alarka,4400,83,21,35,20
